episode_id,dyad,host_gender,guest_gender,host_acknowledge,guest_acknowledge,host_answer,guest_answer,host_ask,guest_ask,host_ask_yes_no,guest_ask_yes_no,host_backchannel,guest_backchannel,host_exclaim,guest_exclaim,host_hold,guest_hold,host_intent,guest_intent,host_reply_no,guest_reply_no,host_reply_yes,guest_reply_yes,host_say,guest_say
ep_002_whisperx_diarized.gender.host_guest,MALE->FEMALE,male,female,0.0252100840336134,0.0155172413793103,0.2689075630252101,0.1818965517241379,0.407563025210084,0.0508620689655172,0.0168067226890756,0.0034482758620689,0.0126050420168067,0.0086206896551724,0.0084033613445378,0.0025862068965517,0.0,0.0025862068965517,0.0294117647058823,0.0068965517241379,0.0,0.0,0.0210084033613445,0.0275862068965517,0.2100840336134453,0.7
ep_009_whisperx_diarized.gender.host_guest,MALE->FEMALE,male,female,0.046583850931677,0.0144927536231884,0.4813664596273292,0.4202898550724637,0.124223602484472,0.0676328502415458,0.0,0.0,0.0093167701863354,0.0,0.0,0.001610305958132,0.0,0.0,0.031055900621118,0.0209339774557165,0.0,0.0,0.0248447204968944,0.0161030595813204,0.2826086956521739,0.4589371980676328
ep_011_whisperx_diarized.gender.host_guest,FEMALE->FEMALE,female,female,0.006578947368421,0.0080515297906602,0.2894736842105263,0.3462157809983897,0.2302631578947368,0.0660225442834138,0.0,0.0,0.0131578947368421,0.0048309178743961,0.0197368421052631,0.0,0.0,0.0,0.006578947368421,0.0112721417069243,0.0,0.001610305958132,0.0723684210526315,0.0209339774557165,0.3618421052631579,0.5410628019323671
ep_013_whisperx_diarized.gender.host_guest,FEMALE->FEMALE,female,female,0.0223880597014925,0.0064794816414686,0.3656716417910448,0.1965442764578833,0.3432835820895522,0.0367170626349892,0.0074626865671641,0.0043196544276457,0.0074626865671641,0.0021598272138228,0.0,0.0,0.0,0.0,0.0074626865671641,0.0021598272138228,0.0,0.0,0.0373134328358208,0.0172786177105831,0.208955223880597,0.734341252699784
ep_014_whisperx_diarized.gender.host_guest,MALE->FEMALE,male,female,0.0287907869481765,0.0233183856502242,0.4357005758157389,0.3452914798206278,0.2072936660268714,0.0520179372197309,0.0,0.0,0.0115163147792706,0.0053811659192825,0.0038387715930902,0.0017937219730941,0.0019193857965451,0.0,0.0249520153550863,0.0098654708520179,0.0,0.000896860986547,0.0134357005758157,0.0197309417040358,0.272552783109405,0.5417040358744395
ep_015_whisperx_diarized.gender.host_guest,FEMALE->FEMALE,female,female,0.0224719101123595,0.0175824175824175,0.3651685393258427,0.3725274725274725,0.1797752808988764,0.0516483516483516,0.0,0.0021978021978021,0.0056179775280898,0.0032967032967032,0.0,0.0,0.0,0.0,0.0224719101123595,0.012087912087912,0.0056179775280898,0.0043956043956043,0.0393258426966292,0.0142857142857142,0.3595505617977528,0.521978021978022
ep_016_whisperx_diarized.gender.host_guest,MALE->FEMALE,male,female,0.0407608695652173,0.0112994350282485,0.328804347826087,0.455743879472693,0.2907608695652174,0.0951035781544256,0.0,0.0,0.0054347826086956,0.0065913370998116,0.0,0.0,0.0,0.0,0.0326086956521739,0.019774011299435,0.0108695652173913,0.0018832391713747,0.0326086956521739,0.0103578154425612,0.2581521739130434,0.3992467043314501
ep_017_whisperx_diarized.gender.host_guest,MALE->FEMALE,male,female,0.0593849416755037,0.0543909348441926,0.376458112407211,0.3654390934844193,0.1304347826086956,0.0662889518413597,0.0042417815482502,0.0005665722379603,0.0084835630965005,0.0124645892351274,0.0116648992576882,0.0022662889518413,0.0010604453870625,0.0011331444759206,0.0222693531283138,0.0113314447592068,0.0053022269353128,0.0022662889518413,0.0233297985153764,0.0362606232294617,0.3573700954400848,0.4475920679886686
ep_018_whisperx_diarized.gender.host_guest,FEMALE->MALE,female,male,0.0362694300518134,0.0166666666666666,0.3264248704663212,0.2833333333333333,0.2901554404145077,0.0866666666666666,0.0,0.0033333333333333,0.005181347150259,0.0077777777777777,0.0,0.0,0.0,0.0,0.0466321243523316,0.0066666666666666,0.0,0.0033333333333333,0.0259067357512953,0.0166666666666666,0.2694300518134715,0.5755555555555556
ep_019_whisperx_diarized.gender.host_guest,MALE->MALE,male,male,0.0830188679245283,0.0440729483282674,0.2981132075471698,0.2462006079027355,0.1509433962264151,0.0425531914893617,0.0113207547169811,0.0,0.030188679245283,0.033434650455927,0.0,0.0030395136778115,0.0,0.0,0.0113207547169811,0.0030395136778115,0.0,0.0015197568389057,0.0226415094339622,0.0349544072948328,0.3924528301886792,0.5911854103343465
